Titles,Authors,Narrator,Runtime,Release,Language
Elon Musk,Ashlee Vance,Fred Sanders,13 hrs and 23 mins,05-19-15,English
Hacking: 4 Books in 1,Erickson Karnel,Nikola Muckajev,12 hrs and 13 mins,02-04-21,English
The Book,Keith Houston,Dennis Kleinman,9 hrs and 58 mins,04-30-19,English
Coding for Absolute Beginners and Cybersecurity: 5 Books in 1,Alan Grid,Michael Andrews,12 hrs and 39 mins,07-29-21,English
Python for Beginners: 2 Books in 1,Programming Languages Academy,Matthew Kinsey,8 hrs and 18 mins,02-18-20,English
El Libro Negro del Programador [The Programmer's Black Book],Rafael Gómez Blanes,Alfonso Sales,6 hrs and 7 mins,08-20-20,Spanish
Coding Languages for Absolute Beginners: 6 Books in 1,Zach Webber,William Bahl,7 hrs and 39 mins,12-26-18,English
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For Intermediates, Arduino For Intermediates Learn Any Computer Language In One Day Step by Step (#2022 Version)",Steve Tudor,Russell Newton,20 hrs and 45 mins,07-28-20,English
Social Media Marketing for Beginners,Carol C. Anderson,Steven Robbins,5 hrs and 32 mins,10-11-22,English
Computer Networking for Beginners,Kevin Morgan,Jamie H. Jung,4 hrs and 8 mins,03-20-20,English
Python - The Bible: 3 Manuscripts in 1 Book,Maurice J. Thompson,Ronald Hillman,10 hrs and 19 mins,11-02-19,English
Aprende Inglés Fluido muy Rápido [Learn Fluent English Very Fast],Efrain Galeano Bonett,Emmanoel Gonzáles,2 hrs and 9 mins,08-13-20,Spanish
Coders at Work,Peter Seibel,Mitchell Dorian,20 hrs and 52 mins,04-21-21,English
Building Microservices,Sam Newman,Theodore O'Brien,21 hrs and 12 mins,02-09-22,English
The Product Book,Product School,Russell Newton,9 hrs and 8 mins,01-30-19,English
The KCNA Book,Nigel Poulton,Nigel Poulton,5 hrs and 17 mins,03-30-22,English
"C++: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in C++ Programming",Zach Webber,William Bahl,4 hrs and 28 mins,11-23-18,English
The Book of Satoshi,Phil Champagne,Stephanie Murphy,7 hrs and 27 mins,04-20-15,English
Solutions Architect's Handbook,Saurabh Shrivastava,Mark Armstrong,17 hrs and 48 mins,11-10-22,English
How to Be Fine,Jolenta Greenberg,Jolenta Greenberg,4 hrs and 54 mins,03-17-20,English
